"More Cash On Delivery related options are available at payment methods' <a href='%1' onclick=""return confirm('Unsaved changes will be discarded.')"">configuration page</a> (scroll to Cash On Delivery Payment by Armah).","More Cash On Delivery related options are available at payment methods' <a href='%1' onclick=""return confirm('Unsaved changes will be discarded.')"">configuration page</a> (scroll to Cash On Delivery Payment by Armah)."
"Excluding Tax","Excluding Tax"
"Including Tax","Including Tax"
"Fixed Amount","Fixed Amount"
Percent,Percent
"Cart Subtotal Excluding Tax","Cart Subtotal Excluding Tax"
"Cart Subtotal Including Tax","Cart Subtotal Including Tax"
"All Allowed Shipping Methods","All Allowed Shipping Methods"
"Specific Shipping Methods","Specific Shipping Methods"
" (Excl. Tax)"," (Excl. Tax)"
" (Incl. Tax)"," (Incl. Tax)"
"%1 %2","%1 %2"
"Unable to save payment fee with ID %1. Error: %2","Unable to save payment fee with ID %1. Error: %2"
"Unable to save new payment fee. Error: %1","Unable to save new payment fee. Error: %1"
"Payment fee with specified ID ""%1"" not found.","Payment fee with specified ID ""%1"" not found."
"Unable to remove payment fee with ID %1. Error: %2","Unable to remove payment fee with ID %1. Error: %2"
"Unable to remove payment fee. Error: %1","Unable to remove payment fee. Error: %1"
"Unable to save paymentFee with ID %1. Error: %2","Unable to save paymentFee with ID %1. Error: %2"
"Unable to save new paymentFee. Error: %1","Unable to save new paymentFee. Error: %1"
"PaymentFee with specified ID ""%1"" not found.","PaymentFee with specified ID ""%1"" not found."
"Unable to remove paymentFee with ID %1. Error: %2","Unable to remove paymentFee with ID %1. Error: %2"
"Unable to remove paymentFee. Error: %1","Unable to remove paymentFee. Error: %1"
"Cash On Delivery Fee","Cash On Delivery Fee"
"Check Cash on Delivery Availability for Your ZIP","Check Cash on Delivery Availability for Your ZIP"
"Cash on Delivery is available","Cash on Delivery is available"
"Cash on Delivery is not available","Cash on Delivery is not available"
"Enter your postal code here","Enter your postal code here"
Check,Check
"The field should contain no more than 2 decimal places.","The field should contain no more than 2 decimal places."
"Cash On Delivery Payment by Armah","Cash On Delivery Payment by Armah"
"New Order Status","New Order Status"
"Enable Cash on Delivery Fee","Enable Cash on Delivery Fee"
"Cash on Delivery Fee Label","Cash on Delivery Fee Label"
"Cash on Delivery Fee Type","Cash on Delivery Fee Type"
"Calculate Based On","Calculate Based On"
"Cash on Delivery Fee","Cash on Delivery Fee"
"Tax Class for Fixed Fee","Tax Class for Fixed Fee"
"Display Fee at Shopping Cart","Display Fee at Shopping Cart"
"Display Fee at Orders, Invoices, Credit Memos","Display Fee at Orders, Invoices, Credit Memos"
"Enable Postal Code Verification for Customers","Enable Postal Code Verification for Customers"
"If disabled, all postal codes are allowed.","If disabled, all postal codes are allowed."
"Address Type to Validate","Address Type to Validate"
"Allowed Postal Codes","Allowed Postal Codes"
"Enter comma separated list of codes you want to allow. It is also possible to specify postal code ranges by separating codes with a slash “/” (works only for numeric codes). If you want to allow all postal code, disable Postal Code Verification for Customers.","Enter comma separated list of codes you want to allow. It is also possible to specify postal code ranges by separating codes with a slash “/” (works only for numeric codes). If you want to allow all postal code, disable Postal Code Verification for Customers."
"Allowed Shipping Methods","Allowed Shipping Methods"
"Display Cash on Delivery Fee","Display Cash on Delivery Fee"
