"Fix Issues with AI","Fix Issues with AI"
"Seo Toolbar","Seo Toolbar"
"Page Analysis","Page Analysis"
"Parameter Name","Parameter Name"
"Parameter Value","Parameter Value"
"Robots Meta","Robots Meta"
Canonical,Canonical
Title,Title
"Try to enlarge it to %1 characters.","Try to enlarge it to %1 characters."
"Meta Description","Meta Description"
Headings,Headings
Images,Images
"%1 image(s) without ALT tag","%1 image(s) without ALT tag"
other,other
"In-Page Links","In-Page Links"
"Schema.org Tags","Schema.org Tags"
"Great. We have found several schema.org types","Great. We have found several schema.org types"
"There are no schema.org types","There are no schema.org types"
Iframes,Iframes
"Page Content","Page Content"
State,State
"Applied Meta Tags Template","Applied Meta Tags Template"
