"<div class=""container"">You currently need the Luma Fallback module to render the Paypal Express Review Page.</div>","<div class=""container"">Per poter visualizzare la pagina di riepilogo di Paypal Express, è necessario il modulo Luma Fallback .</div>"
"<strong>%1 item</strong> was found using the following search criteria","<strong>%1 articolo</strong> è stato trovato utilizzando i seguenti criteri di ricerca"
"Active filtering","Filtri attivi"
"Add one or more recipients before sending the message.","Aggiungi uno o più destinatari prima di inviare il messaggio."
"Are you sure you want to delete this PayPal account?","Sei sicuro di voler eliminare questo account PayPal?"
Cart,Carrello
Contact,Contatti
"Contact Details","Dati di contatto"
"Could not add item to wishlist.","Impossibile aggiungere l'articolo alla lista desideri."
"Could not remove all item from compare.","Impossibile rimuovere tutti gli articoli dal confronto."
"Could not remove item from compare.","Impossibile rimuovere l'articolo dal confronto."
"Could not remove item from quote.","Impossibile rimuovere l'articolo dal carrello."
"Created at","Creato il"
"Customer Address","Indirizzo del cliente"
"Email Address:","Indirizzo e-mail:"
"Enable Recently Viewed Products","Abilita i prodotti visti di recente"
Invitees,Invitati
"Not supported on Hyvä Themes storefronts for compatibility and performance reasons.","Non supportato sui negozi con Hyvä Themes per problemi di compatibilità e prestazioni."
"Only registered users can write reviews. Please <a href=""%1"" class=""underline"">Sign in</a> or <a href=""%2"" class=""underline"">create an account</a>","Solo gli utenti registrati possono lasciare una recensione. <a href=""%1"" class=""underline"">Accedi</a> o <a href=""%2"" class=""underline"">crea un account</a>"
"PayPal Logo","Logo PayPal"
"Please enable LocalStorage in your browser.","Abilita LocalStorage nel tuo browser."
"Please enter a valid date range.","Inserisci un intervallo di date valido."
"Please enter a valid number range.","Inserisci un intervallo di numeri valido."
"Please enter a valid range.","Inserisci un intervallo valido."
"Please verify you've entered all required information","Verifica di aver inserito tutte le informazioni richieste"
"Popular Products","Prodotti popolari"
"Product Options:","Opzioni prodotto:"
"Read our policy","Leggi la nostra linea di condotta"
"Remove all Products","Rimuovi tutti i prodotti"
"Review score","Punteggio della recensione"
"Show Add To Compare In Product List","Mostra Aggiungi al confronto nella lista prodotti"
"Show Add To Compare On Product Page","Mostra Aggiungi al confronto nella pagina prodotto"
"Show Compare Sidebar On Product List","Mostra la barra laterale di confronto nella lista prodotti"
"Show Recently Viewed on Product Detail Pages","Mostra gli ultimi prodotti visti nella pagine di dettaglio prodotto"
"Show Recently Viewed on Product Listing Pages","Mostra gli ultimi prodotti visti nelle pagine di elenco prodotti"
"Submitting your review failed, please try again.","L'invio della tua recensione non è riuscito, per favore riprova."
"Thank you for your visit, we're looking forward to see you again soon.","Grazie per la tua visita, ci auguriamo di rivederti presto."
"This form is protected by reCAPTCHA - the <a class=""underline"" href=""%1"" target=""_blank"" rel=""noopener"">Google Privacy Policy</a> and <a class=""underline"" href=""%2"" target=""_blank"" rel=""noopener"">Terms of Service</a> apply.","Questo form è protetto con reCAPTCHA - vengono applicate le <a class=""underline"" href=""%1"" target=""_blank"" rel=""noopener"">norme sulla privacy</a> e i <a class=""underline"" href=""%2"" target=""_blank"" rel=""noopener"">termini di servizio</a> di <a class=""underline"" href=""%1"" target=""_blank"" rel=""noopener"">Google</a>."
"Track Shipment","Traccia la spedizione"
"Unable to find the SVG icon ""%1""","Impossibile trovare l'icona SVG ""%1"""
"Update item","Aggiorna l'articolo"
Watches,Orologi
"We found other products you might like!
                            ","Abbiamo trovato altri prodotti che potrebbero piacerti!         "
"You are sharing","Stai condividendo"
"You have signed out","Ti sei disconnesso"
"You have signed out and will be redirected to our homepage in 5 seconds.","Ti sei disconnesso e verrai reindirizzato alla nostra homepage in 5 secondi."
"You might also like:","Potrebbe anche piacerti:"
"You removed all products from the comparison list","Hai rimosso tutti i prodotti dalla lista di confronto"
"You removed product %1 from the comparison list","Hai rimosso il prodotto %1 dalla lista di confronto"
"You removed the item.","Hai rimosso l'articolo."
excl.,escl.
incl.,incl.
"
                        <div class=""container"">
                            <p>No Checkout module installed.</p>
                            <p>Either install Hyvä Checkout, the Luma Fallback Checkout, or another alternative checkout.</p>
                            <p>Please refer to <a href=""https://docs.hyva.io/checkout/index.html"" target=""_blank"">the documentation</a> for more information.</p>
                        </div>
                        ","
                        <div class=""container"">
                            <p>Nessun modulo di Checkout installato.</p>
                            <p>Installa Hyvä Checkout, Luma Fallback Checkout o un checkout alternativo.</p>
                            <p>Per ulteriori informazioni, consulta <a href=""https://docs.hyva.io/checkout/index.html"" target=""_blank"">la documentazione</a>.</p>
                        </div>
                        "
"(These settings can also be found in Catalog > Catalog > Recently Viewed/Compared Products)","(Queste impostazioni si trovano anche in Catalogo &gt; Catalogo &gt; Prodotti visti di recente/confrontati)."
"(These settings can also be found in Catalog > Catalog > Storefront)","(Queste impostazioni si trovano anche in Catalogo &gt; Catalogo &gt; Frontend)."
"(These settings can also be found in Sales > Google API > Google GTag)","(Queste impostazioni si trovano anche in Vendite &gt; Google API &gt; Google GTag)."
"Could not add item to your Wish List.","Impossibile aggiungere l'articolo alla Lista desideri."
"Could not remove item from your Wish List.","Impossibile rimuovere l'articolo dalla Lista desideri."
"Enable on Product Detail Pages","Abilita sulle pagine di dettaglio dei prodotti"
"Enabling client side breadcrumb rendering can impact frontend performance for large category trees.","Abilitare la visualizzazione delle briciole di pane in vista cliente potrebbe influire negativamente sulle prestazioni del frontend, in presenza di alberi di categorie di grandi dimensioni."
"Google Tag Manager","Google Tag Manager"
"Hide Password","Nascondi password"
